source_url,related,animal_context_summary,affect_summary.,date_introduced,affect_summary,raw_output,mentions_of_lobbying,bill_title,sentiment_towards_animal_welfare,id,summary,ministry,animal_agriculture_relevant
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS%20INTRO%20ports3282025124010PM.pdf?source=legislation,no,"No sections or clauses within the provided text are directly related to animal welfare, animal testing, livestock, dairy, or the meat industry. The bill focuses exclusively on port operations, administration, development, safety, and environmental protection (pollution containment), without specific reference to animal life or related industries.",,2025 (specific date not provided),,,[],"THE INDIAN PORTS BILL, 2025",Neutral,1,"This bill aims to consolidate laws related to ports in India, fostering integrated port development and enhancing ease of doing business. It proposes the establishment of the Maritime State Development Council and State Maritime Boards to manage ports. Key areas covered include pollution prevention, disaster response, safety, security, navigation, and dispute resolution within the port sector, ensuring compliance with international obligations.","Not explicitly mentioned in the provided text (likely Ministry of Ports, Shipping and Waterways, as introduced in Lok Sabha)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/appro%2033242025115929AM.pdf?source=legislation,yes,"The bill allocates significant funds to the 'Department of Agriculture and Farmers Welfare' (Vote 1), which is responsible for policies and programs related to agriculture, including animal husbandry, dairying, and fisheries. Therefore, a portion of the authorized funds will likely be used for activities directly impacting livestock, dairy, and other animal agriculture sectors.",,"Not explicitly stated (Bill No. 36 of 2025, financial year 2025-26)",,,[],"THE APPROPRIATION (NO. 3) BILL, 2025",Neutral,2,"This bill seeks to authorize the payment and appropriation of specific sums from the Consolidated Fund of India for the services required during the financial year 2025-26. It details the allocations for various government ministries and departments, specifying both revenue and capital expenditures, to ensure the continued functioning and funding of government operations for the specified fiscal period.","Ministry of Finance (as the introducing ministry for appropriation bills), covering appropriations for various Ministries and Departments.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/immigration%20eng3112025124359PM.pdf?source=legislation,no,"The provided bill text does not contain any sections or clauses related to animal welfare, animal testing, livestock, dairy, or the meat industry. Its scope is entirely focused on human immigration and the regulation of foreigners.",,2025 (specific date not mentioned),,,[],"THE IMMIGRATION AND FOREIGNERS BILL, 2025",Neutral,3,"This bill seeks to empower the Central Government to regulate the entry and exit of individuals into and from India, particularly focusing on requirements for passports and other travel documents. It also outlines regulations for foreigners, including their registration, movement restrictions, and obligations of various entities providing services or accommodation to them. The bill further defines offenses, penalties, and provides powers for enforcement related to immigration and foreigners.",Central Government (specific ministry not mentioned),False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/immigration%20eng3112025124359PM.pdf?source=legislation,no,"Not applicable; the bill text provided contains no content related to animal welfare, animal testing, livestock, dairy, or the meat industry. It exclusively focuses on human immigration and foreigners.",,2025,,,[],"THE IMMIGRATION AND FOREIGNERS BILL, 2025",Neutral,4,"This bill aims to empower the Central Government to regulate the entry and exit of individuals, including foreigners, into and from India, requiring passports and visas. It establishes regulations for foreigners' registration, movement, and imposes obligations on various entities like accommodation providers, educational institutions, and hospitals regarding reporting foreigner particulars. It also outlines liabilities for carriers and specifies offences and penalties related to immigration and foreigner compliance.",Not explicitly mentioned in the provided text.,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/140_1981_LS_E.pdf?source=legislation,yes,"The entire bill focuses on the Animal Welfare Board of India, which is the central body for overseeing animal welfare in the country. It amends sections related to the Board's definition, renaming, and critically, its composition and reconstitution. New clauses introduce representatives from Central Government ministries (Home Affairs and Education), the Indian Board for Wild Life, and individuals 'actively engaged in animal welfare work and well-known humanitarians'. It also revises the process for appointing the Chairman and Vice-Chairman and establishes clear terms for board members and the board's reconstitution every three years.",,"November 26, 1981","This bill is likely to positively affect animal welfare policy by strengthening the institutional framework for animal protection. By reconstituting and diversifying the membership of the Animal Welfare Board of India, it aims to enhance the Board's capacity for effective policy-making, oversight, and enforcement of cruelty prevention measures. The inclusion of representatives from various government departments and experienced humanitarians could lead to more robust and comprehensive animal welfare initiatives and better implementation of the principal Act.",,[],"THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 1981",Positive,5,"This bill amends the Prevention of Cruelty to Animals Act, 1960. Its main purpose is to restructure and strengthen the Animal Welfare Board of India by redefining its composition, term limits, and reconstitution process. It aims to ensure diverse representation, including government ministries, wildlife boards, and active humanitarians, within the Board.",Central Government (with specific mention of representation from Ministries dealing with Home Affairs and Education for Board appointments),True
https://sansad.in/getFile/BillsTexts/RSBillTexts/PassedRajyaSabha/PREVENTION AND CONTROL  As passed RS POSTED.pdf?source=legislation,yes,"The bill directly addresses the health of animals, specifically targeting infectious and contagious diseases in a wide range of animals including cattle, buffalo, sheep, goat, pig, horse, camel, poultry, and more (as defined in Clause 2). It outlines procedures for disease containment such as segregating infected animals, vaccination, establishing check posts and quarantine camps, and restricting animal movement. It also provides for the examination, treatment, and ultimately, euthanasia of infected animals and proper disposal of their carcasses to prevent disease spread, which has direct implications for livestock, dairy, and meat industries.","This bill primarily focuses on public health, economic stability, and international trade compliance by controlling animal diseases. While preventing widespread disease can indirectly reduce animal suffering, the policy's emphasis is on herd health and economic viability, not individual animal welfare. Provisions like compulsory euthanasia of infected animals (Clause 25) reflect a pragmatic approach to disease eradication, which prioritizes containment over individual animal life. It establishes a necessary framework for managing animal health crises but its direct impact on animal welfare policy is incidental rather than central, potentially allowing for measures that, while effective for disease control, may not prioritize an animal's comfort or life.","Circa 2005 (Bill No. CXXVII-C of 2005, passed by Rajya Sabha on 16th December, 2008)",,,"['Office International Des Epizooties (OIE), Paris']","THE PREVENTION AND CONTROL OF INFECTIOUS AND CONTAGIOUS DISEASES IN ANIMALS BILL, 2008",Neutral,6,"This bill aims to prevent, control, and eradicate infectious and contagious diseases in animals across India. It seeks to prevent inter-state disease transmission, mitigate economic losses, and fulfill international obligations for animal and animal product trade. Key provisions include establishing veterinary officers, mandatory disease reporting, vaccination programs, controlled movement of animals, and measures for handling infected animals, including euthanasia and carcass disposal.","Not explicitly stated, but typically falls under the Ministry of Agriculture and Farmers Welfare, or Ministry of Fisheries, Animal Husbandry and Dairying (in the context of India).",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/11 of 2023 as intro84202385239PM.pdf?source=legislation,yes,"The entire bill is dedicated to addressing 'man-animal conflicts,' which primarily involve wildlife. It aims to establish a Board to prevent these conflicts by identifying causes, suggesting control measures, providing financial and training assistance, and maintaining records of incidents. The bill mandates the registration of institutions working in this field, indicating a focus on organized efforts for human-wildlife coexistence and protection.","This bill could significantly impact animal welfare policy by establishing a dedicated central authority focused on mitigating human-animal conflicts. This centralization could lead to more systematic research, better-coordinated prevention strategies, increased public awareness, and improved support for both affected communities and wildlife. By actively working to reduce conflicts, it aims to prevent harm to animals, thereby positively contributing to animal welfare and promoting coexistence.",Bill No. 11 of 2023 (No specific date of introduction mentioned beyond the year),,,"['Shri V.K. Sreekandan, M.P. (Sponsor)', 'Ministries of Environment, Forest and Climate Change', 'Ministry of Home Affairs', 'Ministry of Railways', 'Ministry of Jal Shakti', 'National Board for Wildlife', 'Wildlife Institute of India']","THE MAN-ANIMAL CONFLICTS PREVENTION BOARD BILL, 2023",Positive,7,"This bill proposes the establishment of a Man-Animal Conflict Prevention Board in India. Its primary aim is to prevent and manage conflicts between humans and animals through various means, including conducting seminars, promoting research, creating awareness, and providing assistance. The Board will also oversee and regulate institutions working in this field by requiring their registration.","Central Government, with representation from Ministries of Environment, Forest and Climate Change; Home Affairs; Railways; and Jal Shakti. Also, National Board for Wildlife and Wildlife Institute of India.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/11%20of%202023%20as%20intro84202385239PM.pdf?source=legislation,yes,"The entire bill is dedicated to addressing 'man-animal conflicts,' which refers to interactions between humans and wild animals resulting in negative consequences for either party (e.g., crop damage, livestock predation, human injuries/fatalities). The Board's core functions include preventing and reducing these conflicts through various measures such as awareness, research, and offering suggestions for control, aiming to foster coexistence and protect both human lives/livelihoods and animal populations.","This bill is likely to have a positive impact on animal welfare policy. By creating a dedicated Board and framework for managing human-wildlife conflicts, it aims to develop more structured, research-backed, and potentially humane solutions. Measures such as promoting awareness, supporting research into conflict causes, providing financial assistance for prevention, and suggesting control measures can lead to better coexistence strategies, ultimately reducing harm to both humans and animals and mitigating retaliatory actions against wildlife.",Bill No. 11 of 2023,,,"['Shri V.K. Sreekandan, M.P. (Introducer of the Bill)', 'Members of Parliament (who will be part of the Board)', 'Ministries of the Central Government (Environment, Forest and Climate Change; Home Affairs; Railways; Jal Shakti - whose representatives will be on the Board)', 'National Board for Wildlife (whose representatives will be on the Board)', 'Wildlife Institute of India (whose representatives will be on the Board)']","THE MAN-ANIMAL CONFLICTS PREVENTION BOARD BILL, 2023",Positive,8,"This bill proposes to establish the Man-Animal Conflict Prevention Board to address and mitigate conflicts between humans and animals across the country. The Board will comprise government representatives, Members of Parliament, and experts, tasked with conducting awareness programs, research, providing assistance, and suggesting measures for conflict reduction. It also mandates the registration of institutions working in this field.","Ministry of Environment, Forest and Climate Change (and other relevant ministries like Home Affairs, Railways, Jal Shakti)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2191ls-01.pdf?source=legislation,yes,"The bill directly impacts animal welfare by amending Section 11 of the principal Act to explicitly exclude 'bullfight or Dhirio organized in the prescribed manner' from the definition of cruelty. It introduces a new Section 13A, which mandates that these events can only be organized with prior permission from the District Magistrate and requires organizers to ensure the bulls' horns are sufficiently covered with a thin sheath to prevent injury.","This bill would significantly impact animal welfare policy by weakening the scope of the Prevention of Cruelty to Animals Act, 1960. By exempting bullfights/Dhirio, it would legalize activities previously deemed cruel under the Act, potentially setting a precedent for other traditional events to seek similar exemptions. While it includes some safety measures, the primary effect is to allow activities that involve inherent risks of pain and suffering to animals, moving away from a strict interpretation of cruelty prevention.","June 4, 2009",,,"['Shri Francisco Sardinha, M.P. (proposer)', 'People in the villages of the State of Goa (mentioned as agitating for the amendment)']","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2009",Negative,9,"This bill seeks to amend the Prevention of Cruelty to Animals Act, 1960, to exempt traditional events like 'Dhirio' (bullfights or trial of strength between bulls) from its purview. It proposes to allow such events in a prescribed manner, requiring prior permission from the District Magistrate and mandating safety measures like covering the bulls' horns to prevent injury.","Proposed by Shri Francisco Sardinha, M.P. (No specific ministry mentioned as the proposer)",True
https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Animal-E-13320.pdf?source=legislation,yes,"The bill's core focus is the regulation of 'animal factory farming.' It applies to ventures involved in the production, use, and rearing of animals for this purpose. Key animal-related provisions include mandatory phasing out of harmful antibiotics and specification of allowed antibiotics (Chapter II, Section 4), ensuring specified methods for animal transport (Chapter II, Section 5), and strict compliance with Chapter III of the Prevention of Cruelty to Animals Act, 1960 (Chapter II, Section 6). The bill defines 'venture' to include any organization or individual with 'charge of animals and involved in production through animal factory farming.'","This bill could significantly affect animal welfare policy by establishing a comprehensive regulatory framework for animal factory farming in India. By mandating the phasing out of harmful antibiotics, regulating animal transportation, and requiring adherence to the Prevention of Cruelty to Animals Act, 1960, it aims to reduce suffering and improve basic conditions for animals within the factory farming system. The introduction of consumer health impact assessments and independent audits also creates mechanisms for oversight that could indirectly lead to better welfare practices by scrutinizing operational impacts on both animal and human health.","13th March, 2020",,,[],"THE ANIMAL FACTORY FARMING (REGULATION) BILL, 2020",Positive,10,"This bill aims to regulate the animal factory farming industry across India. It sets out obligations for ventures involved in animal production, including phasing out harmful antibiotics, regulating animal transport, and ensuring compliance with animal cruelty prevention laws. It also introduces accountability measures such as mandatory consumer health impact assessments for new or large-scale operations and annual independent audits.","Not explicitly mentioned in the provided text, but introduced in the Rajya Sabha (Parliament of India).",True
